,tgroup,key,value,description,embedding
7778,,shop,equestrian,"A shop where you can buy riding equipment for rider, horse and stable.","tensor([ 0.0187, -0.0164, -0.0345,  ...,  0.0167, -0.0281,  0.0686])"
7779,For adults only,shop,erotic,"A shop selling erotic products such as sex toys, erotic lingerie, fetish clothing, safe sex products, erotic games and gifts, and pornographic films and magazines","tensor([ 0.0142, -0.0025, -0.0020,  ...,  0.0256, -0.0238,  0.0649])"
7780,shops,shop,esoteric,"A shop selling esoteric paraphernalia such as crystals, pendants, books, incense, oils, etc.","tensor([-0.0063,  0.0122, -0.0278,  ...,  0.0266, -0.0254,  0.0840])"
7781,shops,shop,estate_agent,A shop which sells and/or rents property.,"tensor([ 0.0238, -0.0157,  0.0052,  ..., -0.0079,  0.0004,  0.0889])"
7782,,shop,fabric,A shop that sells fabric,"tensor([ 0.0152, -0.0398, -0.0268,  ...,  0.0125, -0.0064,  0.0563])"
7785,,shop,farm,"A shop at a farm, selling farm produce.","tensor([ 0.0267,  0.0003, -0.0277,  ..., -0.0011, -0.0338,  0.0539])"
7786,shops,shop,fashion,Fashion shop,"tensor([ 0.0024, -0.0152,  0.0097,  ...,  0.0379, -0.0194,  0.0564])"
7787,shops,shop,fashion_accessories,A shop focused on selling fashion accessories,"tensor([ 0.0137, -0.0120,  0.0205,  ...,  0.0371, -0.0228,  0.0537])"
7789,,shop,firearms,,"tensor([-0.0264,  0.0080,  0.0186,  ...,  0.0065, -0.0442,  0.0632])"
7790,,shop,fireplace,A shop selling fireplaces.,"tensor([ 0.0287,  0.0051, -0.0327,  ...,  0.0389, -0.0192,  0.0969])"
7793,shops,shop,fishing,Store where you can buy fishing equipment.,"tensor([-0.0195, -0.0043,  0.0206,  ...,  0.0204, -0.0336,  0.0649])"
7795,shops,shop,flooring,A shop which sells a variety of floorings,"tensor([ 0.0184,  0.0041, -0.0166,  ...,  0.0344, -0.0109,  0.0674])"
7796,shops,shop,florist,A shop selling bouquets of flowers.,"tensor([ 0.0322, -0.0049,  0.0085,  ...,  0.0148, -0.0044,  0.0637])"
7799,,shop,food,A shop selling food.,"tensor([ 0.0264, -0.0063, -0.0343,  ...,  0.0247, -0.0282,  0.0909])"
7800,,shop,frame,A shop where you can buy frames.,"tensor([ 0.0194, -0.0032, -0.0422,  ...,  0.0427, -0.0314,  0.0787])"
7802,shops,shop,frozen_food,A shop that mainly sells frozen food.,"tensor([ 0.0363,  0.0140, -0.0177,  ...,  0.0426, -0.0265,  0.0896])"
7803,shops,shop,fuel,A shop selling fuels,"tensor([ 0.0140, -0.0113, -0.0080,  ...,  0.0084, -0.0303,  0.0804])"
7804,,shop,funeral_directors,"Providing services related to funeral arrangements, may also be known as a ""funeral parlour"" or ""undertakers"".","tensor([ 0.0164, -0.0152, -0.0159,  ...,  0.0160, -0.0319,  0.0362])"
7806,shops,shop,furniture,A shop selling furniture.,"tensor([ 0.0141, -0.0150, -0.0160,  ...,  0.0452, -0.0162,  0.0780])"
7809,shops,shop,games,"Shop selling board games, card games, battle games, RPGs.","tensor([ 0.0037, -0.0025, -0.0077,  ...,  0.0348, -0.0197,  0.0705])"
7811,shops,shop,garden_centre,"A shop selling potted plants, seedlings for planting, and related items.","tensor([ 0.0192,  0.0329,  0.0034,  ...,  0.0122, -0.0131,  0.0693])"
7812,,shop,garden_furniture,"Shop focused on selling garden furniture (sheds, outdoor tables, gates, fences, ...).","tensor([ 0.0138, -0.0012, -0.0016,  ...,  0.0271, -0.0251,  0.0837])"
7814,,shop,gas,A shop selling and/or refilling bottled gas.,"tensor([ 0.0159,  0.0044, -0.0383,  ...,  0.0031, -0.0245,  0.0747])"
7815,,shop,general,A general store. Small shop selling variety of different products.,"tensor([ 0.0202,  0.0202, -0.0132,  ...,  0.0176, -0.0342,  0.0687])"
7818,shops,shop,gift,"Shop selling gifts, greeting cards, or tourist gifts (souvenirs).","tensor([ 0.0219,  0.0023,  0.0168,  ...,  0.0191, -0.0272,  0.0684])"
7819,,shop,glass,,"tensor([-0.0049, -0.0130, -0.0114,  ...,  0.0221, -0.0109,  0.0606])"
7820,,shop,glaziery,Selling and installing glazing for windows and doors.,"tensor([ 0.0321, -0.0012, -0.0057,  ...,  0.0308,  0.0035,  0.0747])"
7822,shops,shop,golf,Golf equipment shop.,"tensor([-0.0097, -0.0382,  0.0095,  ...,  0.0188, -0.0296,  0.0988])"
7823,shops,shop,golf_cart,A place that primarily sells golf carts,"tensor([-0.0048, -0.0140,  0.0056,  ...,  0.0241, -0.0556,  0.1272])"
7824,shops,shop,greengrocer,A shop which sells fruits and vegetables,"tensor([ 0.0316,  0.0057, -0.0131,  ...,  0.0097, -0.0264,  0.0803])"
7826,shops,shop,grocery,A retail store that specializes in selling non-perishable food.,"tensor([ 0.0357,  0.0074, -0.0103,  ...,  0.0272, -0.0351,  0.0829])"
7827,shops,shop,groundskeeping,"A shop selling groundskeeping equipment, equipment service and supplies for groundskeeping.","tensor([ 0.0014, -0.0005, -0.0005,  ...,  0.0227, -0.0385,  0.0633])"
7829,shops,shop,gun,Shop which is selling primarily firearms.,"tensor([-0.0202,  0.0060,  0.0030,  ...,  0.0038, -0.0208,  0.0659])"
7831,shops,shop,haberdashery,"Haberdashery - shop selling small articles for sewing, such as buttons, ribbons, zips.","tensor([ 0.0271,  0.0114, -0.0005,  ..., -0.0006, -0.0118,  0.0528])"
7832,,shop,hairdresser,"A hairdressers or barbers shop, where hair is cut","tensor([ 0.0218,  0.0027,  0.0003,  ..., -0.0016,  0.0161,  0.0706])"
7833,shops,shop,hairdresser_supply,A shop where you can buy hairdressing supplies,"tensor([0.0254, 0.0108, 0.0037,  ..., 0.0072, 0.0199, 0.0702])"
7834,,shop,hardware,"A shop which sells timber, tools and other building products","tensor([ 0.0217, -0.0033, -0.0073,  ...,  0.0321, -0.0119,  0.0735])"
7836,,shop,health,,"tensor([-0.0036, -0.0182, -0.0101,  ...,  0.0263, -0.0439,  0.0727])"
7837,shops,shop,health_food,"A health food shop; selling wholefoods, vitamins, nutrition supplements and meat and dairy alternatives.","tensor([ 0.0309,  0.0104, -0.0164,  ...,  0.0339, -0.0300,  0.0598])"
7839,,shop,hearing_aids,A shop specialized in selling hearing aids devices,"tensor([ 0.0357, -0.0251,  0.0052,  ..., -0.0035, -0.0067,  0.0732])"
7840,,shop,herbalist,"Shop focused on selling herbs, often for medical purposes","tensor([ 0.0324,  0.0110, -0.0160,  ...,  0.0160, -0.0244,  0.0658])"
7842,,shop,hifi,Shop selling high fidelity audio components,"tensor([ 0.0119, -0.0072, -0.0092,  ..., -0.0078, -0.0312,  0.0513])"
7843,,shop,hobby,,"tensor([-0.0118, -0.0252,  0.0180,  ...,  0.0301, -0.0466,  0.0624])"
7844,shops,shop,honey,A shop selling honey.,"tensor([ 0.0313, -0.0092, -0.0058,  ...,  0.0171, -0.0159,  0.0925])"
7845,,shop,hookah,A shop that sells hookahs and/or related accessories,"tensor([ 0.0176, -0.0185, -0.0133,  ...,  0.0118, -0.0296,  0.0504])"
7846,shops,shop,household_linen,A shop that sells household linen.,"tensor([ 0.0081,  0.0007, -0.0050,  ...,  0.0061, -0.0113,  0.0624])"
7847,,shop,houseware,A shop selling small household items,"tensor([ 0.0305,  0.0009, -0.0055,  ...,  0.0241, -0.0090,  0.0801])"
7848,,shop,hunting,Shop where you can buy gun and hunting equipment.,"tensor([-0.0073,  0.0080,  0.0092,  ..., -0.0188, -0.0244,  0.0490])"
7849,,shop,hvac,"A shop selling equipment for heating, ventilation & air-conditioning.","tensor([ 0.0370, -0.0125, -0.0106,  ...,  0.0127, -0.0151,  0.0479])"
7850,shops,shop,hydroponics,A shop primarily selling hydroponics supplies.,"tensor([-0.0142,  0.0163,  0.0070,  ..., -0.0064, -0.0351,  0.0605])"
7851,shops,shop,ice_cream,For places selling ice cream.,"tensor([ 0.0476,  0.0171, -0.0091,  ...,  0.0222, -0.0090,  0.0922])"
7852,,shop,insurance,A shop selling insurance services from one or more insurance carriers.,"tensor([ 0.0208, -0.0238, -0.0273,  ...,  0.0341, -0.0137,  0.0518])"
7853,,shop,interior_decoration,Shop focused on selling interior decorations,"tensor([ 0.0242,  0.0122, -0.0047,  ...,  0.0060, -0.0186,  0.0699])"
7856,,shop,jewelry,"A shop that sells rings, necklaces, earrings, watches, etc.","tensor([ 0.0175,  0.0088, -0.0200,  ...,  0.0160, -0.0239,  0.0706])"
7857,,shop,junk_yard,Focusing and storage and destruction of old automobiles including selling of after market parts.,"tensor([ 0.0076,  0.0048, -0.0200,  ..., -0.0004, -0.0515,  0.0617])"
7858,,shop,kiosk,"A small shop on the pavement that sells magazines, tobacco, newspapers, sweets and stamps.","tensor([ 0.0328,  0.0295, -0.0313,  ..., -0.0107, -0.0374,  0.0860])"
7859,,shop,kitchen,A shop where you can plan and buy your kitchen.,"tensor([ 0.0296, -0.0022, -0.0322,  ...,  0.0432, -0.0057,  0.0999])"
7861,shops,shop,knives,Shop which is selling primarily knives,"tensor([-0.0313,  0.0049, -0.0259,  ...,  0.0239, -0.0227,  0.0618])"
7863,,shop,laundromat,,"tensor([-0.0024, -0.0088, -0.0039,  ..., -0.0257, -0.0134,  0.0609])"
7864,,shop,laundry,"A shop to wash clothes and bedding, generally self-service and unattended.","tensor([ 0.0006,  0.0025, -0.0115,  ..., -0.0070, -0.0132,  0.0505])"
7865,,shop,leather,A shop for products made of leather.,"tensor([ 0.0075, -0.0257, -0.0084,  ...,  0.0363, -0.0206,  0.0607])"
7866,shops,shop,leatherworking,A shop for leather hides and leather crafting supplies etc.,"tensor([ 0.0252,  0.0022, -0.0005,  ...,  0.0302, -0.0086,  0.0629])"
7867,,shop,lighting,A shop selling lighting fixtures and lamps.,"tensor([ 0.0029, -0.0065,  0.0023,  ...,  0.0259, -0.0153,  0.0679])"
7868,,shop,locksmith,A shop where you can get keys cut,"tensor([ 0.0114,  0.0226, -0.0307,  ...,  0.0071, -0.0152,  0.0602])"
7869,,shop,lottery,A shop of which the main or only purpose is the sale of lottery tickets.,"tensor([-0.0007,  0.0003, -0.0151,  ..., -0.0010, -0.0341,  0.0785])"
7871,,shop,mall,"A group of stores, typically associated with a single building structure.","tensor([ 0.0253,  0.0012, -0.0200,  ...,  0.0210, -0.0306,  0.0581])"
7874,,shop,marine,,"tensor([-0.0433, -0.0166,  0.0103,  ..., -0.0057, -0.0332,  0.0644])"
7875,,shop,massage,Massage shop,"tensor([-0.0056, -0.0054, -0.0156,  ...,  0.0185, -0.0407,  0.0802])"
7877,,shop,medical_supply,A store where you can buy medical equipment for private persons.,"tensor([ 0.0258,  0.0249, -0.0317,  ...,  0.0047,  0.0038,  0.0588])"
7878,,shop,military_surplus,Shop selling used military equipment,"tensor([-0.0050,  0.0032,  0.0007,  ..., -0.0101, -0.0063,  0.0791])"
7881,,shop,mobile_home,"A shop for mobile-, or manufactured-homes.","tensor([-0.0110,  0.0010, -0.0193,  ..., -0.0157, -0.0311,  0.0849])"
7882,shops,shop,mobile_phone,A shop that primarily sells mobile phones and accessories.,"tensor([ 0.0086, -0.0009,  0.0154,  ..., -0.0037, -0.0142,  0.0724])"
7885,shops,shop,model,A shop selling scale models.,"tensor([-0.0032,  0.0182, -0.0227,  ...,  0.0163, -0.0333,  0.0859])"
7886,,shop,money_lender,A shop offering small personal loans at high rates of interest.,"tensor([ 0.0210,  0.0130,  0.0030,  ..., -0.0130, -0.0004,  0.0730])"
7888,shops,shop,motorcycle,A shop that sells motorcycles and/or related accessories and services.,"tensor([ 0.0077, -0.0101,  0.0060,  ..., -0.0120, -0.0516,  0.0922])"
7889,,shop,motorcycle_parts,"A place selling motorcycle parts, accessories, motor oil, chemicals, etc.","tensor([ 0.0086,  0.0071, -0.0176,  ..., -0.0012, -0.0477,  0.0897])"
7890,shops,shop,motorcycle_repair,A place where you can get your motorcycles repaired.,"tensor([ 0.0023,  0.0084, -0.0028,  ..., -0.0029, -0.0457,  0.0897])"
7892,shops,shop,motorsports,"A shop selling off-road, watercraft, and/or sports vehicles and related accessories","tensor([-0.0103, -0.0169,  0.0245,  ...,  0.0026, -0.0429,  0.0875])"
7893,shops,shop,music,A store that primarily sells recorded music (typically vinyl/CDs).,"tensor([ 0.0346,  0.0018, -0.0186,  ...,  0.0159, -0.0157,  0.0418])"
7894,shops,shop,musical_instrument,"Shop selling musical instruments, lyrics, scores.","tensor([ 0.0300, -0.0159, -0.0212,  ...,  0.0015,  0.0080,  0.0558])"
7896,shops,shop,new_age,A shop selling New Age goods,"tensor([-0.0195, -0.0129, -0.0279,  ...,  0.0341, -0.0219,  0.0735])"
7897,,shop,newsagent,A shop selling newspapers and magazines.,"tensor([ 0.0120,  0.0076, -0.0393,  ..., -0.0016, -0.0161,  0.0581])"
7898,,shop,no,"Indicator that feature such as fuel station has no shop, nowadays generally not used.","tensor([-0.0117, -0.0234, -0.0149,  ...,  0.0338, -0.0281,  0.0367])"
7899,shops,shop,nutrition_supplements,"Shops that sells nutritional supplements different types of purified proteins, fats, vitamins, minerals and/or herbs.","tensor([ 0.0219,  0.0030, -0.0340,  ...,  0.0349, -0.0434,  0.0284])"
7901,,shop,office_supplies,,"tensor([ 0.0056, -0.0231,  0.0106,  ...,  0.0334, -0.0324,  0.0644])"
7902,shops,shop,optician,"A shop that sells, fits, and repairs prescription eyeglasses and contact lenses.","tensor([-0.0041,  0.0043, -0.0080,  ...,  0.0175,  0.0175,  0.0366])"
7905,shops,shop,outdoor,"A shop selling trekking, climbing, camping equipment.","tensor([ 0.0142,  0.0254,  0.0042,  ...,  0.0366, -0.0078,  0.0490])"
7907,,shop,outpost,Shop primarily used to pick-up items ordered online. May have meager supply of products.,"tensor([-0.0142,  0.0216, -0.0089,  ...,  0.0303, -0.0145,  0.0563])"
7908,,shop,paint,A shop where you can buy paints.,"tensor([ 0.0051, -0.0089, -0.0344,  ...,  0.0194, -0.0222,  0.0910])"
7909,shops,shop,party,"Shop selling party supplies like decorations, invitations and costumes.","tensor([ 0.0201, -0.0121, -0.0225,  ...,  0.0278, -0.0257,  0.0526])"
7910,,shop,pasta,"Shop focused on selling (fresh) pasta, ravioli, etc.","tensor([ 0.0157,  0.0073, -0.0318,  ...,  0.0100, -0.0395,  0.0785])"
7911,,shop,pastry,A shop where sweet bakery products are sold.,"tensor([ 0.0246, -0.0094, -0.0121,  ...,  0.0120, -0.0151,  0.1001])"
7912,shops,shop,pawnbroker,A business that offers secured loans against items of personal property as collateral.,"tensor([ 7.1877e-03,  7.0884e-05,  6.3827e-03,  ...,  2.3304e-02,
        -3.1038e-02,  6.5767e-02])"
7915,shops,shop,perfumery,A shop selling perfumes.,"tensor([ 0.0416, -0.0043,  0.0009,  ...,  0.0312, -0.0096,  0.0758])"
7916,,shop,pest_control,"A business selling goods to exterminate rats, insects etc.","tensor([ 0.0191,  0.0082, -0.0190,  ...,  0.0333, -0.0286,  0.0711])"
7917,shops,shop,pet,A shop selling pets and/or pet supplies,"tensor([ 0.0180,  0.0116, -0.0403,  ...,  0.0446, -0.0213,  0.0794])"
7918,shops,shop,pet_grooming,A shop offering grooming services for pets (most frequently dogs),"tensor([ 0.0142,  0.0056, -0.0191,  ...,  0.0420, -0.0179,  0.0694])"
7920,,shop,photo,A shop dealing with photos or video in any way.,"tensor([ 0.0271, -0.0090,  0.0049,  ...,  0.0090, -0.0310,  0.0537])"
7921,shops,shop,photo_studio,A place where you can walk in and have your photo taken.,"tensor([ 0.0217,  0.0257, -0.0028,  ...,  0.0043, -0.0116,  0.0354])"
7923,,shop,piercing,A place where people can get a piercing.,"tensor([ 0.0159,  0.0088, -0.0247,  ...,  0.0026, -0.0240,  0.0745])"
7924,shops,shop,plant_hire,A shop hiring out heavy equipment.,"tensor([ 0.0015, -0.0110, -0.0127,  ...,  0.0094, -0.0365,  0.0626])"
7925,,shop,pottery,"A place where earthenware, stoneware and porcelain and other ceramic ware are sold.","tensor([ 0.0339,  0.0247, -0.0290,  ...,  0.0309, -0.0122,  0.0675])"
7928,,shop,printer_ink,A shop that sells or refills printer ink cartridges.,"tensor([ 0.0238,  0.0099, -0.0138,  ...,  0.0114, -0.0439,  0.0611])"
7929,,shop,printing,A shop for printing on specific supports.,"tensor([-0.0028,  0.0136, -0.0133,  ...,  0.0195, -0.0462,  0.0609])"
7931,shops,shop,psychic,"A business that offers to predict the future for hire: fortune-telling, tarot, palmistry, tea-leaf reading, etc.","tensor([-0.0131,  0.0088, -0.0074,  ...,  0.0354, -0.0325,  0.0552])"
7932,shops,shop,pyrotechnics,"Shop selling consumer pyrotechnics: fireworks, firecrackers, sparklers etc.","tensor([-0.0071,  0.0006, -0.0103,  ...,  0.0045, -0.0336,  0.0578])"
7934,,shop,radiotechnics,"Shop focused on selling electronic components, electrical products, radio measuring devices, supplies for radio and electronics.","tensor([ 0.0011,  0.0071, -0.0044,  ...,  0.0145, -0.0611,  0.0686])"
7936,,shop,religion,A shop selling merchandise related to religion,"tensor([ 0.0100, -0.0041, -0.0339,  ...,  0.0195, -0.0217,  0.0534])"
7937,shops,shop,rental,A shop that rents different kinds vehicles or (sport) equipment.,"tensor([-0.0087,  0.0043, -0.0253,  ...,  0.0014, -0.0210,  0.0446])"
7938,shops,shop,repair,A general repair shop. More precise tagging should be used where appropriate.,"tensor([ 0.0047, -0.0043, -0.0137,  ...,  0.0355, -0.0387,  0.0791])"
7942,shops,shop,safety_equipment,A shop focused on selling safety equipment,"tensor([ 0.0143, -0.0221, -0.0084,  ...,  0.0427, -0.0180,  0.0749])"
7945,,shop,scooter,"A shop selling scooters. Also see shop=motorcycle, shop=bicycle and shop=mobility_scooter.","tensor([ 0.0226, -0.0081, -0.0014,  ...,  0.0056, -0.0409,  0.1166])"
7946,,shop,scuba_diving,A shop that sells equipment for scuba diving and/or related accessories and services.,"tensor([ 0.0067, -0.0177,  0.0009,  ..., -0.0033, -0.0308,  0.0635])"
7947,shops,shop,seafood,A shop selling fish/seafood.,"tensor([-0.0098,  0.0045, -0.0095,  ...,  0.0111, -0.0346,  0.0806])"
7948,,shop,second_hand,A shop selling second hand goods.,"tensor([ 0.0066, -0.0024, -0.0151,  ...,  0.0134, -0.0290,  0.0740])"
7949,,shop,security,"Stores selling security equipment: surveillance cameras, firefighting equipment, alarm systems, warning systems, etc.","tensor([ 0.0171,  0.0123, -0.0133,  ...,  0.0209, -0.0320,  0.0465])"
7950,shops,shop,sewing,"A shop that sells sewing supplies (fabric, thread, yarn, knitting needles, sewing machines, etc.).","tensor([ 0.0206, -0.0081, -0.0069,  ...,  0.0252, -0.0117,  0.0339])"
7951,shops,shop,shed,A store that sells sheds or portable buildings.,"tensor([ 0.0194,  0.0006, -0.0277,  ...,  0.0393, -0.0388,  0.0781])"
7953,shops,shop,shoe_repair,A place where one may have shoes repaired or altered.,"tensor([-0.0041,  0.0047, -0.0086,  ...,  0.0379, -0.0239,  0.0797])"
7954,shops,shop,shoes,A shop selling shoes,"tensor([ 0.0051, -0.0075, -0.0036,  ...,  0.0339, -0.0253,  0.0782])"
7955,,shop,shopping_centre,A shopping centre: a collection of shops facing a parking lot,"tensor([ 0.0309,  0.0128, -0.0017,  ...,  0.0184, -0.0214,  0.0765])"
7956,,shop,skate,Used for skate shops.,"tensor([ 0.0432, -0.0218, -0.0246,  ...,  0.0146, -0.0629,  0.0704])"
7957,shops,shop,ski,A shop that sells skis and/or related accessories and services,"tensor([ 0.0338, -0.0135, -0.0030,  ...,  0.0159, -0.0623,  0.0757])"
7959,shops,shop,snack,A shop which sells snacks.,"tensor([-0.0158, -0.0101, -0.0407,  ...,  0.0177, -0.0501,  0.0749])"
7962,,shop,souvenir,"Using this tag is discouraged, use tag:shop=gift instead.","tensor([ 0.0385, -0.0302,  0.0243,  ...,  0.0347, -0.0434,  0.0909])"
7964,shops,shop,spices,A shop selling spices,"tensor([ 0.0050, -0.0020, -0.0461,  ...,  0.0354, -0.0546,  0.0781])"
7965,shops,shop,sports,A shop selling sports equipment and clothing.,"tensor([ 0.0236, -0.0143,  0.0150,  ...,  0.0293, -0.0371,  0.0835])"
7967,shops,shop,stationery,A shop selling office supplies.,"tensor([ 0.0307,  0.0007,  0.0034,  ...,  0.0354, -0.0288,  0.0715])"
7968,shops,shop,storage_rental,"Paid storage of household goods, i.e. self storage.","tensor([ 0.0042,  0.0143, -0.0172,  ...,  0.0249, -0.0066,  0.0460])"
7969,,shop,street_vendor,A shop without its own building,"tensor([ 0.0230, -0.0046, -0.0172,  ...,  0.0127, -0.0187,  0.1002])"
7970,,shop,supermarket,"A large shop selling groceries, fresh produce, and other goods.","tensor([ 0.0374,  0.0242, -0.0345,  ...,  0.0229, -0.0275,  0.0639])"
7971,,shop,surf,A shop selling surf related items.,"tensor([ 0.0270, -0.0142,  0.0021,  ...,  0.0074, -0.0169,  0.0897])"
7972,,shop,swimming_pool,A store that sells swimming pool equipment and supplies,"tensor([ 0.0446, -0.0231, -0.0174,  ...,  0.0280, -0.0261,  0.0927])"
7973,shops,shop,tailor,"A place where clothing is made, repaired, or altered professionally, especially suits and men's clothing.","tensor([-0.0082,  0.0082, -0.0006,  ...,  0.0238, -0.0309,  0.0269])"
7974,,shop,tattoo,A place where people can get permanent tattoos,"tensor([ 0.0074,  0.0044, -0.0216,  ...,  0.0209, -0.0219,  0.0357])"
7975,,shop,tea,"A shop selling tea, mostly loose-leaf, by weight.","tensor([ 0.0180,  0.0204, -0.0248,  ...,  0.0258, -0.0541,  0.0836])"
7976,shops,shop,telecommunication,A shop of a telecommunications company.,"tensor([ 0.0042,  0.0171, -0.0187,  ...,  0.0232, -0.0512,  0.0575])"
7977,,shop,ticket,"A shop selling tickets for concerts, events, public transport, etc.","tensor([ 0.0100,  0.0116, -0.0417,  ...,  0.0097, -0.0401,  0.0713])"
7979,shops,shop,tiles,A store that sells tiles.,"tensor([ 0.0238, -0.0009, -0.0275,  ...,  0.0210, -0.0128,  0.0759])"
7980,shops,shop,tobacco,"A shop selling tobacco, and possibly other convenience items","tensor([ 0.0179, -0.0136, -0.0283,  ...,  0.0431, -0.0487,  0.0579])"
7981,,shop,tool_hire,A shop hiring out tools.,"tensor([ 0.0076,  0.0039, -0.0387,  ...,  0.0163, -0.0298,  0.0655])"
7982,,shop,tools,a shop that sells tools,"tensor([ 0.0055, -0.0194, -0.0271,  ...,  0.0280, -0.0316,  0.0841])"
7983,shops,shop,tortilla,A shop focused on selling tortillas to the public.,"tensor([ 0.0228,  0.0221, -0.0420,  ...,  0.0466, -0.0420,  0.0789])"
7985,shops,shop,toys,A shop focussed on selling children's toys.,"tensor([ 0.0091, -0.0033, -0.0157,  ...,  0.0485, -0.0109,  0.0763])"
7986,shops,shop,tractor,A shop that sells tractors and/or related accessories and services.,"tensor([ 0.0043, -0.0081,  0.0121,  ...,  0.0156, -0.0558,  0.0595])"
7987,,shop,trade,"A place of business that sells to a particular trade or trades, but normally also retails to normal consumers.","tensor([ 0.0210,  0.0021, -0.0099,  ...,  0.0274, -0.0308,  0.0606])"
7988,,shop,trailer,"A shop that sells trailers, related accessories and services.","tensor([-0.0020, -0.0009, -0.0300,  ...,  0.0037, -0.0525,  0.0654])"
7989,,shop,travel_agency,A shop selling travel related products and services,"tensor([ 0.0098, -0.0140, -0.0097,  ...,  0.0191, -0.0187,  0.0654])"
7990,,shop,trophy,"Shop selling trophies, awards, plaques, medals","tensor([ 0.0162, -0.0017,  0.0079,  ...,  0.0490, -0.0201,  0.0830])"
7991,shops,shop,truck,A dealer that primarily sells trucks (heavy goods vehicles).,"tensor([ 0.0031, -0.0183, -0.0104,  ...,  0.0078, -0.0426,  0.0953])"
7992,shops,shop,truck_repair,A shop that repairs large trucks (HGVs).,"tensor([ 0.0104, -0.0248, -0.0150,  ...,  0.0199, -0.0333,  0.0929])"
7993,shops,shop,tyres,A shop selling tyres.,"tensor([ 0.0157,  0.0127, -0.0173,  ...,  0.0194, -0.0516,  0.0989])"
7995,lifecycle,shop,vacant,Shop that is currently not being used.,"tensor([ 0.0234, -0.0048, -0.0310,  ...,  0.0543, -0.0386,  0.0648])"
7996,,shop,vacuum_cleaner,A shop that sales vacuum cleaners,"tensor([ 0.0351, -0.0144, -0.0124,  ...,  0.0215, -0.0254,  0.0670])"
7997,shops,shop,variety_store,A variety store or price-point retailer is a retail shop that sells inexpensive items.,"tensor([ 0.0183,  0.0104, -0.0030,  ...,  0.0151, -0.0415,  0.0560])"
8000,,shop,video,A shop that sells or rents out videos/DVDs,"tensor([ 0.0375, -0.0006, -0.0296,  ...,  0.0231, -0.0397,  0.0646])"
8001,shops,shop,video_games,Shop selling video games.,"tensor([ 3.6333e-02, -2.5828e-02, -2.1307e-05,  ...,  3.6248e-02,
        -4.4077e-02,  8.6677e-02])"
8003,shops,shop,watches,A shop that sells watches.,"tensor([ 0.0065, -0.0272, -0.0093,  ...,  0.0287, -0.0368,  0.0767])"
8004,shops,shop,water,A shop focused on selling drinking water.,"tensor([ 0.0198, -0.0029, -0.0189,  ...,  0.0097, -0.0146,  0.1008])"
8007,shops,shop,water_sports,A shop sells items for water sports activities.,"tensor([ 0.0079, -0.0252,  0.0385,  ...,  0.0065, -0.0396,  0.1013])"
8008,shops,shop,weapons,"Shop focused on selling weapons like knives, guns, etc.","tensor([-0.0070,  0.0109, -0.0258,  ...,  0.0234, -0.0152,  0.0642])"
8012,shops,shop,wellness,A wellness shop.,"tensor([ 0.0113, -0.0171, -0.0204,  ...,  0.0377, -0.0393,  0.0746])"
8013,,shop,wholesale,A store that sells items in bulk.,"tensor([ 0.0264,  0.0166, -0.0334,  ...,  0.0248, -0.0179,  0.0653])"
8014,shops,shop,wigs,Shop focused on selling wigs.,"tensor([ 0.0140, -0.0215, -0.0188,  ...,  0.0207,  0.0003,  0.0908])"
8015,,shop,window,,"tensor([ 0.0218,  0.0019,  0.0080,  ...,  0.0338, -0.0432,  0.0582])"
8016,,shop,window_blind,A shop that sells window blinds.,"tensor([ 0.0319, -0.0201, -0.0176,  ...,  0.0317, -0.0235,  0.0606])"
8017,shops,shop,window_tinting,A business that provides window tinting,"tensor([ 0.0132, -0.0081,  0.0007,  ...,  0.0155, -0.0143,  0.0375])"
8018,shops,shop,windows,A shop which sells windows.,"tensor([ 0.0266, -0.0139, -0.0021,  ...,  0.0386, -0.0300,  0.0755])"
8019,shops,shop,wine,Shop selling wine,"tensor([ 0.0241, -0.0168,  0.0078,  ...,  0.0247, -0.0189,  0.0737])"
8021,shops,shop,wool,Shop selling wool / yarn for knitting.,"tensor([ 0.0185,  0.0103, -0.0123,  ...,  0.0168, -0.0111,  0.0649])"
8022,,shop,yes,A shop of unspecified type or an indicator that a feature such as a fuel station has a shop.,"tensor([ 0.0075, -0.0107,  0.0053,  ...,  0.0144, -0.0358,  0.0580])"
8023,highways,sidewalk,both,Indicates that there is a sidewalk on each side of a street.,"tensor([ 0.0523, -0.0042,  0.0072,  ...,  0.0320, -0.0147,  0.0899])"
8024,highways,sidewalk,separate,"Tagged on carriageway, indicates that sidewalk geometry is mapped separately","tensor([ 0.0270, -0.0341, -0.0094,  ...,  0.0151, -0.0403,  0.0856])"
8032,marine navigation,signal_station,weather,,"tensor([-0.0010, -0.0189, -0.0167,  ..., -0.0094, -0.0746,  0.0670])"
8039,parking,site,parking,Group entrance for complex/underground parking.,"tensor([ 0.0364,  0.0220, -0.0036,  ...,  0.0297, -0.0414,  0.0753])"
8057,social facilities,social_facility:for,disabled,Social facility for people with physical disabilities,"tensor([ 0.0142,  0.0145, -0.0223,  ...,  0.0375, -0.0293,  0.0573])"
8058,social facilities,social_facility:for,homeless,Social facility for homeless,"tensor([ 0.0096,  0.0238, -0.0192,  ...,  0.0190, -0.0304,  0.0507])"
